Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
57000,3.6543863,12.0,-0.40114304,-0.7877333442370097,-0.7877333442370097,1.0
57500,3.6259067,41.36363636363637,-0.5133321,-0.8440833439429601,-0.8440833439429601,1.0
58000,3.6176262,58.95454545454545,-0.5688302,-0.5051000386476516,-0.5051000386476516,1.0
58500,3.6081786,None,-0.57296205,-0.5460000236829122,-0.5460000236829122,1.0
59000,3.582325,66.3529411764706,-0.61097366,-0.4103333652019501,-0.4103333652019501,1.0
59500,3.5894282,None,-0.58963966,-0.7665714195796421,-0.7665714195796421,1.0
60000,3.5743182,None,-0.47932148,-0.4831428825855255,-0.4831428825855255,1.0
60500,3.5851073,79.83333333333333,-0.471481,-0.5560000191132227,-0.5560000191132227,1.0
61000,3.589961,106.0,-0.5176205,None,None,1.0
61500,3.586618,70.5,-0.5410723,None,None,1.0
62000,3.5981045,73.28571428571429,-0.5240667,-0.5621111401253276,-0.5621111401253276,1.0
62500,3.581493,None,-0.5147101,-0.612750019878149,-0.612750019878149,1.0
63000,3.5938282,84.76923076923077,-0.5650603,-0.5134000420570374,-0.5134000420570374,1.0
63500,None,3.0,-0.4867818,-0.6251666893561681,-0.6251666893561681,1.0
64000,3.6281478,None,-0.5098919,-0.43514288323266165,-0.43514288323266165,1.0
64500,3.620276,35.05882352941177,-0.5122199,-0.9150909185409546,-0.9150909185409546,1.0
65000,3.6087644,77.75,-0.5033689,-0.781500001748403,-0.781500001748403,1.0
65500,3.5423226,75.47058823529412,-0.5356559,-0.6269000053405762,-0.6269000053405762,1.0
66000,3.635993,85.5,-0.59466034,-0.7097143062523433,-0.7097143062523433,1.0
66500,3.6254315,88.18181818181819,-0.46127552,-0.6083333392937978,-0.6083333392937978,1.0
67000,3.612827,None,-0.44631615,-0.6110000262657801,-0.6110000262657801,1.0
67500,3.5943074,None,-0.53237265,-0.39300004839897157,-0.39300004839897157,1.0
68000,3.5881915,80.28571428571429,-0.4591993,-0.6082000136375427,-0.6082000136375427,1.0
68500,3.5852118,109.0,-0.4524838,-0.7711250111460686,-0.7711250111460686,1.0
69000,3.5688486,83.53333333333333,-0.47368225,-0.457714319229126,-0.457714319229126,1.0
69500,3.5933552,80.5,-0.39277387,-0.3327500447630882,-0.3327500447630882,1.0
70000,3.5777216,3.0,-0.4836232,-0.5511428926672254,-0.5511428926672254,1.0
70500,3.6167612,53.46153846153846,-0.45386267,-0.7727778057257334,-0.7727778057257334,1.0
71000,3.6484172,39.0,-0.38870642,-0.7818000137805938,-0.7818000137805938,1.0
71500,3.5845692,62.3125,-0.47679716,-0.7550000064074993,-0.7550000064074993,1.0
72000,3.5706534,None,-0.47899327,-0.6068333437045416,-0.6068333437045416,1.0
72500,3.592583,63.55555555555556,-0.48027664,-0.81727273626761,-0.81727273626761,1.0
73000,3.5491326,84.66666666666667,-0.36853564,-0.46400003880262375,-0.46400003880262375,1.0
73500,3.5344238,58.666666666666664,-0.38459235,-0.640111118555069,-0.640111118555069,1.0
74000,3.5334406,62.8,-0.49787453,-0.6348333458105723,-0.6348333458105723,1.0
74500,3.5458617,55.6,-0.51127774,-0.7006666834155718,-0.7006666834155718,1.0
75000,3.5601866,34.111111111111114,-0.4450695,-0.7346666786405776,-0.7346666786405776,1.0
75500,3.578721,72.0,-0.52205276,-0.6651428810187748,-0.6651428810187748,1.0
76000,3.5700138,68.16666666666667,-0.5737417,-0.8292000204324722,-0.8292000204324722,1.0
76500,3.5928159,None,-0.4286259,-0.4699999988079071,-0.4699999988079071,1.0
77000,3.58397,52.6,-0.49943474,-0.8172000050544739,-0.8172000050544739,1.0
77500,3.5803785,62.2,-0.5215442,-0.783882365507238,-0.783882365507238,1.0
78000,3.5532038,37.42857142857143,-0.54116505,-0.759307677929218,-0.759307677929218,1.0
78500,3.5451746,48.4,-0.5717676,-0.946833332379659,-0.946833332379659,1.0
79000,3.5121799,42.0,-0.6183916,-0.8014545549045909,-0.8014545549045909,1.0
79500,3.5122051,114.0,-0.50365233,-0.6491111285156674,-0.6491111285156674,1.0
80000,3.533965,None,-0.43508777,-0.9890000224113464,-0.9890000224113464,1.0
80500,3.5305464,None,-0.49974692,-0.5133333603541056,-0.5133333603541056,1.0
81000,3.5609891,115.63636363636364,-0.4301902,-0.3278000295162201,-0.3278000295162201,1.0
81500,3.5278258,76.0,-0.39734784,-0.6261666913827261,-0.6261666913827261,1.0
82000,3.5276635,None,-0.4437529,-0.242000050842762,-0.242000050842762,1.0
82500,3.537203,125.6,-0.41121894,-0.6883333722750345,-0.6883333722750345,1.0
83000,3.4707108,None,-0.4517746,-0.28800004720687866,-0.28800004720687866,1.0
83500,3.4008183,None,-0.45622382,-0.2730000515778859,-0.2730000515778859,1.0
84000,3.432447,None,-0.3909427,-0.28183339287837345,-0.28183339287837345,1.0
