Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
500,1.4191638,0.08492365,0.0,131.0,0.0
1000,1.4191458,0.042433865,0.020000000298023225,172.4,0.02500000037252903
1500,1.4193423,0.035533298,0.0,102.5,0.0
2000,1.421337,0.1359959,0.033333333830038704,167.66666666666666,0.033333333830038704
2500,1.4216899,0.16629678,0.04000000059604645,124.8,0.05000000074505806
3000,1.4249761,0.17560644,0.0,83.6,0.0
3500,1.4258251,0.18070567,0.0,130.75,0.0
4000,1.4272017,0.14221609,-0.22499999962747097,135.0,-0.22499999403953552
4500,1.4281763,0.28742772,-0.29999999701976776,180.0,-0.1999999980131785
5000,1.4414852,0.15712605,0.0,124.0,0.0
5500,1.4333444,0.2257465,2.9802322387695314e-09,154.4,9.313225746154785e-09
6000,1.4488076,0.20881438,0.0,132.0,0.0
6500,1.4389585,0.1757917,0.2000000129143397,283.3333333333333,0.30000003427267075
7000,1.441217,0.15917969,-1.0,173.0,0.0
7500,1.4451941,0.23654318,-0.6749999988824129,123.25,-0.7399999976158143
8000,1.4462712,0.15390345,-0.4999999850988388,79.5,-0.5
8500,1.4422859,0.17090371,-0.8999999985098839,45.0,-0.8999999761581421
9000,1.4473165,0.059373368,0.0,139.0,0.0
9500,1.4569325,0.22261414,None,None,None
10000,1.4622133,0.1331144,-0.5499999932944775,182.0,-0.5499999821186066
10500,1.458861,0.09365124,0.16000002324581147,169.2,0.45000001788139343
11000,1.4595019,0.15215571,-0.8999999985098839,213.66666666666666,-0.9249999988824129
11500,1.4724357,0.0065273345,-0.7999999970197678,202.66666666666666,-0.7999999995032946
12000,1.4692515,0.023747813,-1.0,157.5,-1.0
12500,1.4856845,-0.047794446,-1.0,199.5,-1.0
13000,1.4918898,-0.13284223,None,None,-1.0
13500,1.4673984,-0.1533071,-0.974999999627471,186.0,-0.9666666661699613
14000,1.4741466,-0.141176,0.20000002533197403,335.0,-0.399999987334013
14500,1.4913517,-0.25149632,-0.3999999985098839,196.5,-1.0
15000,1.4871259,-0.11814666,-0.5,142.5,-0.2666666656732559
15500,1.5090234,-0.2111171,-0.666666661699613,259.0,-0.6666666443149248
16000,1.4998288,-0.11512554,-1.0,233.5,-1.0
16500,1.4858277,-0.30108958,-0.9499999992549419,170.5,-0.949999988079071
17000,1.4849972,-0.3249415,-1.0,192.0,-1.0
17500,1.5099484,-0.26896983,-0.2499999888241291,146.0,0.5
18000,1.5084652,-0.28140628,None,None,-1.0
18500,1.5020517,-0.5237774,-1.0,404.0,-1.0
19000,1.4880854,-0.35383347,None,None,None
19500,1.4999382,-0.4604149,-1.0,348.5,-1.0
20000,1.5013278,-0.57154554,-0.4999999850988388,424.0,-0.4999999925494194
20500,1.4830711,-0.3766297,-1.0,69.0,-1.0
21000,1.493195,-0.36229783,-1.0,38.0,-1.0
21500,1.4987807,-0.32967782,-0.5,194.5,-0.5
22000,1.5037179,-0.26838133,None,None,None
22500,1.5045811,-0.4007686,-1.0,253.0,-1.0
23000,1.5163643,-0.29065937,None,None,None
23500,1.5091537,-0.38600826,None,None,None
24000,1.5138705,-0.16859645,None,None,None
24500,1.5159504,-0.20548856,None,None,None
25000,1.5207983,-0.24827114,None,None,None
25500,1.5212584,-0.2565549,-1.0,377.0,-1.0
26000,1.5176125,-0.23077181,0.0,165.0,0.0
26500,1.5221052,-0.14972402,None,None,None
27000,1.526552,-0.23205332,None,None,None
27500,1.5316045,-0.21751285,None,None,None
28000,1.5227765,-0.26510608,-1.0,156.5,-1.0
28500,1.5197936,-0.17037486,-0.44999999925494194,348.5,-0.44999999925494194
29000,1.5129709,-0.21848765,-0.7999999970197678,504.0,None
29500,1.5102539,-0.21584296,None,None,-0.7999999970197678
30000,1.5119102,-0.2475478,None,None,None
30500,1.5051107,-0.2932588,-1.0,759.0,-1.0
31000,1.5020012,-0.25825354,-1.0,192.0,-1.0
31500,1.4960555,-0.18998684,-0.8999999985098839,521.5,-0.8999999985098839
32000,1.4891036,-0.14305301,-0.7999999970197678,492.0,-0.7999999970197678
32500,1.4996413,-0.1365202,None,None,None
33000,1.4908365,-0.12836184,-0.8999999985098839,349.5,-0.8999999985098839
33500,1.5022566,-0.12628071,None,None,None
34000,1.5082643,-0.10764222,None,None,None
34500,1.5142468,-0.08848226,-1.0,148.0,-1.0
35000,1.5170984,-0.071298316,None,None,None
35500,1.5076002,0.008160888,None,None,None
36000,1.509611,0.021578236,None,None,None
36500,1.5151683,-0.045675863,0.8000000566244125,664.0,0.8000001013278961
37000,1.5460663,0.049331117,None,None,None
37500,1.5398437,0.03131997,None,None,None
38000,1.5074908,0.026156986,None,None,None
38500,1.5049311,0.07195821,None,None,None
39000,1.5225128,0.04030343,None,None,None
39500,1.5250881,-0.0072193984,None,None,None
40000,1.5195855,0.029375423,None,None,None
40500,1.5047594,-0.027240187,None,None,None
41000,1.5106441,0.023460314,None,None,None
41500,1.5101671,0.032086775,None,None,None
42000,1.5052841,-0.012508851,None,None,None
42500,1.5176942,-0.0040722303,None,None,None
43000,1.5231411,-0.0090272585,-0.3999999910593033,1065.0,-0.3999999910593033
